name,type,ra_deg,dec_deg,major_arcmin,minor_arcmin,pa_deg,mag,messier,common_name_zh,constellation,mag_band,common_name_en,is_addendum
B033,DrkN,85.245833,-2.458333,6,4,90,,,马头星云,Ori,,Horsehead Nebula,1
C009,HII,344.475,62.518333,50,30,,,,洞穴星云,Cep,,Cave Nebula,1
C014,*Ass,35.175,57.1375,50,50,,,,双星团,Per,,"Double Cluster,h & chi Persei",1
C041,OCl,66.725,15.866667,329,,,,,毕星团,Tau,,Hyades,1
C099,DrkN,187.829167,-63.743333,,,,,,煤袋星云,Cru,,Coalsack Nebula,1
Cl399,*Ass,291.35,20.183333,70,,,3.6,,衣架星团,Vul,V,"Brocchi's Cluster,Al Sufi's Cluster,Coathanger Asterism",1
ESO056-115,G,80.89375,-69.756111,646,550,170,0.29,,大麦哲伦云,Dor,V,"Large Magellanic Cloud,Nubecula Major",1
ESO097-013,G,213.291458,-65.339222,8.71,4.27,37,10.56,,圆规座星系,Cir,V,Circinus Galaxy,1
ESO107-004,G,315.873417,-67.181333,2.14,1.74,135,11.97,,,Pav,V,,1
ESO121-006,G,91.874417,-61.807583,4.17,0.79,42,12.6,,,Pic,V,,1
ESO121-026,G,95.411458,-59.739917,2.4,1.78,113,11.94,,,Pic,V,,1
ESO138-010,G,254.762292,-60.216028,5.5,3.98,56,11.42,,,Ara,V,,1
ESO142-019,G,293.329,-58.11425,2.45,1.05,161,11.93,,,Pav,V,,1
ESO183-030,G,284.233083,-54.545444,2.34,1.95,25,11.67,,,Tel,V,,1
ESO185-054,G,300.862625,-55.947167,2.09,0.87,131,11.24,,,Tel,V,,1
ESO208-021,G,113.484375,-50.443028,3.8,2.75,109,11.22,,,Pup,V,,1
ESO213-011,G,154.231333,-48.881083,3.55,2.09,10,11.87,,,Vel,V,,1
ESO221-026,G,212.099208,-47.970472,3.16,2.19,0,11.06,,,Cen,V,,1
ESO265-007,G,166.956542,-46.524306,4.68,1.26,143,11.38,,,Cen,V,,1
ESO269-057,G,197.518458,-46.437333,3.71,2.14,47,11.86,,,Cen,V,,1
ESO270-017,G,203.697083,-45.5475,11.48,1.45,111,11.72,,,Cen,V,Fourcade-Figueroa,1
ESO273-014,G,224.626542,-47.698944,4.79,3.55,89,11.96,,,Lup,V,,1
ESO274-001,G,228.557667,-46.807944,9.77,1.55,39,11.19,,,Lup,V,,1
ESO311-012,G,116.891875,-41.452139,4.37,0.72,15,11.83,,,Pup,V,,1
ESO351-030,G,15.038958,-33.709028,15.26,15.26,99,8.6,,,Scl,V,Sculptor Dwarf Elliptical,1
ESO356-004,G,39.997208,-34.449194,12.88,10.47,48,7.4,,,For,V,Fornax Dwarf Spheroidal,1
ESO358-063,G,56.579208,-34.943556,4.27,1.26,132,11.89,,,For,V,,1
ESO373-008,G,143.339625,-33.0335,3.72,0.98,90,11.93,,,Ant,V,,1
ESO380-001,G,183.688,-35.509806,2.14,1.62,18,11.89,,,Hya,V,,1
ESO380-006,G,183.892792,-35.62975,3.63,1.62,79,11.54,,,Hya,V,,1
ESO383-087,G,207.322917,-36.063444,4.27,3.31,86,10.91,,,Cen,V,,1
ESO390-006,GCl,247.167083,-35.353611,5.4,,,12,,,Sco,V,,1
ESO428-011,G,108.880333,-29.359028,1.82,1.38,23,11.89,,,CMa,V,,1
ESO443-024,G,195.253292,-32.441306,2.34,2,166,11.84,,,Cen,V,,1
ESO462-015,G,305.807667,-27.714556,2.14,1.74,166,11.92,,,Sgr,V,,1
ESO494-026,G,121.546208,-27.528417,4.07,2.69,146,11.51,,,Pup,V,,1
ESO495-021,G,129.063042,-26.409389,1.95,1.41,136,11.83,,,Pyx,V,,1
ESO507-025,G,192.882667,-26.452083,2.63,2.14,98,11.6,,,Hya,V,,1
ESO556-015,G,95.273167,-20.048417,2.57,2.19,130,11.83,,,CMa,V,,1
H05,OCl,186.816667,-60.778333,6,,,7.1,,,Cru,V,,1
H13,OCl,255.9625,-48.083333,4.5,,,,,,Ara,,,1
H20,OCl,298.275,18.333333,5.1,,,7.7,,,Sge,V,,1
H21,OCl,358.555,61.74,1.8,,,9,,,Cas,V,,1
HCG079,GGroup,239.799583,20.758611,2.8,,,,,塞弗特六重星系,Se1,,Seyfert's Sextet,1
HCG092,GGroup,338.995833,33.958333,4.4,,,,,史蒂芬五重星系,Peg,,Stephan's Quintet,1
IC0001,**,2.112708,27.717667,,,,,,,Peg,,,0
IC0002,G,2.753667,-12.822861,0.98,0.32,142,15.46,,,Cet,B,,0
IC0003,G,3.025375,-0.415222,0.93,0.67,53,14.78,,,Psc,B,,0
IC0004,G,3.36225,17.486444,1.17,0.84,12,14.14,,,Peg,B,,0
IC0005,G,4.395542,-9.543361,0.99,0.66,9,14.57,,,Cet,B,,0
IC0006,G,4.729333,-3.276083,1.23,1.08,146,14.57,,,Psc,B,,0
IC0007,G,4.7215,10.594694,0.9,0.63,174,14.63,,,Psc,B,,0
IC0008,G,4.761333,-3.222083,0.82,0.34,129,15.16,,,Psc,B,,0
IC0009,G,4.93325,-14.121889,0.59,0.46,122,15.41,,,Cet,B,,0
IC0010,G,5.07225,59.303778,6.76,6.03,129,10.35,,,Cas,V,,0
IC0011,Dup,13.247292,56.621889,,,,,,,Cas,,,0
IC0012,G,5.062708,-2.653111,0.96,0.32,20,15.08,,,Psc,B,,0
IC0013,G,5.083708,7.7005,1.29,0.53,162,14.93,,,Psc,B,,0
IC0014,**,5.630375,10.49025,,,,,,,Psc,,,0
IC0015,G,6.989958,-0.061278,0.44,0.38,91,15.9,,,Cet,B,,0
